time_hr,x_ft,p_analytic_psi,p_numeric_psi
0.0,160.79999999999998,4350.0,4350.0
0.0,161.99999999999997,4350.0,4350.0
0.0,163.2,4350.0,4350.0
0.0,164.39999999999998,4350.0,4350.0
0.0,165.6,4350.0,4350.0
0.0,166.79999999999998,4350.0,4350.0
0.0,167.99999999999997,4350.0,4350.0
0.0,169.2,4350.0,4350.0
0.0,170.39999999999998,4350.0,4350.0
0.0,171.59999999999997,4350.0,4350.0
0.0,172.79999999999998,4350.0,4350.0
0.0,173.99999999999997,4350.0,4350.0
0.0,175.2,4350.0,4350.0
0.0,176.39999999999998,4350.0,4350.0
0.0,177.59999999999997,4350.0,4350.0
0.0,178.79999999999998,4350.0,4350.0
0.0,179.99999999999997,4350.0,4350.0
0.0,181.2,4350.0,4350.0
0.0,182.39999999999998,4350.0,4350.0
0.0,183.59999999999997,4350.0,4350.0
0.0,184.79999999999998,4350.0,4350.0
0.0,185.99999999999997,4350.0,4350.0
0.0,187.19999999999996,4350.0,4350.0
0.0,188.39999999999998,4350.0,4350.0
0.0,189.59999999999997,4350.0,4350.0
0.0,190.79999999999998,4350.0,4350.0
0.0,191.99999999999997,4350.0,4350.0
0.0,193.19999999999996,4350.0,4350.0
0.0,194.39999999999998,4350.0,4350.0
0.0,195.6,4350.0,4350.0
0.0,196.79999999999998,4350.0,4350.0
0.0,197.99999999999997,4350.0,4350.0
0.0,199.19999999999996,4350.0,4350.0
0.0,200.39999999999998,4350.0,4350.0
0.0,201.6,4350.0,4350.0
0.0,202.79999999999995,4350.0,4350.0
0.0,203.99999999999997,4350.0,4350.0
0.0,205.2,4350.0,4350.0
0.0,206.39999999999998,4350.0,4350.0
0.0,207.59999999999997,4350.0,4350.0
0.0,208.79999999999998,4350.0,4350.0
0.0,209.99999999999997,4350.0,4350.0
0.0,211.19999999999996,4350.0,4350.0
0.0,212.39999999999998,4350.0,4350.0
0.0,213.59999999999997,4350.0,4350.0
0.0,214.79999999999998,4350.0,4350.0
0.0,215.99999999999997,4350.0,4350.0
0.0,217.19999999999996,4350.0,4350.0
0.0,218.39999999999998,4350.0,4350.0
0.0,219.59999999999997,4350.0,4350.0
0.0,220.79999999999995,4350.0,4350.0
0.0,221.99999999999997,4350.0,4350.0
0.0,223.19999999999996,4350.0,4350.0
0.0,224.4,4350.0,4350.0
0.0,225.59999999999997,4350.0,4350.0
0.0,226.79999999999995,4350.0,4350.0
0.0,227.99999999999997,4350.0,4350.0
0.0,229.19999999999996,4350.0,4350.0
0.0,230.4,4350.0,4350.0
0.0,231.59999999999997,4350.0,4350.0
0.0,232.79999999999995,4350.0,4350.0
0.0,234.0,4350.0,4350.0
0.0,235.19999999999996,4350.0,4350.0
0.0,236.39999999999995,4350.0,4350.0
0.0,237.6,4350.0,4350.0
0.0,238.79999999999995,4350.0,4350.0
0.0,240.0,4350.0,4350.0
0.0,241.19999999999996,4350.0,4350.0
0.0,242.39999999999995,4350.0,4350.0
0.0,243.6,4350.0,4350.0
0.0,244.79999999999995,4350.0,4350.0
0.0,245.99999999999994,4350.0,4350.0
0.0,247.2,4350.0,4350.0
0.0,248.39999999999995,4350.0,4350.0
0.0,249.6,4350.0,4350.0
0.0,250.79999999999998,4350.0,4350.0
0.0,251.99999999999994,4350.0,4350.0
0.0,253.2,4350.0,4350.0
0.0,254.39999999999995,4350.0,4350.0
0.0,255.6,4350.0,4350.0
0.0,256.79999999999995,4350.0,4350.0
0.0,257.99999999999994,4350.0,4350.0
0.0,259.2,4350.0,4350.0
0.0,260.4,4350.0,4350.0
0.0,261.59999999999997,4350.0,4350.0
0.0,262.79999999999995,4350.0,4350.0
0.0,263.99999999999994,4350.0,4350.0
0.0,265.2,4350.0,4350.0
0.0,266.4,4350.0,4350.0
0.0,267.59999999999997,4350.0,4350.0
0.0,268.79999999999995,4350.0,4350.0
0.0,269.99999999999994,4350.0,4350.0
0.0,271.2,4350.0,4350.0
0.0,272.4,4350.0,4350.0
0.0,273.59999999999997,4350.0,4350.0
0.0,274.79999999999995,4350.0,4350.0
0.0,275.99999999999994,4350.0,4350.0
0.0,277.19999999999993,4350.0,4350.0
0.0,278.4,4350.0,4350.0
0.0,279.59999999999997,4350.0,4350.0
0.0,280.8,4350.0,4350.0
0.0,281.99999999999994,4350.0,4350.0
0.0,283.19999999999993,4350.0,4350.0
0.0,284.4,4350.0,4350.0
0.0,285.59999999999997,4350.0,4350.0
0.0,286.79999999999995,4350.0,4350.0
0.0,287.99999999999994,4350.0,4350.0
0.0,289.19999999999993,4350.0,4350.0
0.0,290.4,4350.0,4350.0
0.0,291.59999999999997,4350.0,4350.0
0.0,292.79999999999995,4350.0,4350.0
0.0,294.0,4350.0,4350.0
0.0,295.19999999999993,4350.0,4350.0
0.0,296.4,4350.0,4350.0
0.0,297.59999999999997,4350.0,4350.0
0.0,298.79999999999995,4350.0,4350.0
0.0,300.0,4350.0,4350.0
0.0,301.19999999999993,4350.0,4350.0
0.0,302.3999999999999,4350.0,4350.0
0.0,303.59999999999997,4350.0,4350.0
0.0,304.79999999999995,4350.0,4350.0
0.0,306.0,4350.0,4350.0
0.0,307.2,4350.0,4350.0
0.0,308.3999999999999,4350.0,4350.0
0.0,309.59999999999997,4350.0,4350.0
0.0,310.79999999999995,4350.0,4350.0
0.0,312.0,4350.0,4350.0
0.0,313.2,4350.0,4350.0
0.0,314.3999999999999,4350.0,4350.0
0.0,315.59999999999997,4350.0,4350.0
0.0,316.79999999999995,4350.0,4350.0
0.0,317.99999999999994,4350.0,4350.0
0.0,319.2,4350.0,4350.0
0.0,320.4,4350.0,4350.0
0.0,321.59999999999997,4350.0,4350.0
0.0,322.79999999999995,4350.0,4350.0
0.0,323.99999999999994,4350.0,4350.0
0.0,325.2,4350.0,4350.0
0.0,326.4,4350.0,4350.0
0.0,327.59999999999997,4350.0,4350.0
0.0,328.79999999999995,4350.0,4350.0
0.0,329.99999999999994,4350.0,4350.0
0.0,331.2,4350.0,4350.0
0.0,332.4,4350.0,4350.0
0.0,333.59999999999997,4350.0,4350.0
0.0,334.79999999999995,4350.0,4350.0
0.0,335.99999999999994,4350.0,4350.0
0.0,337.2,4350.0,4350.0
0.0,338.4,4350.0,4350.0
0.0,339.59999999999997,4350.0,4350.0
0.0,340.79999999999995,4350.0,4350.0
0.0,341.99999999999994,4350.0,4350.0
0.0,343.19999999999993,4350.0,4350.0
0.0,344.4,4350.0,4350.0
0.0,345.59999999999997,4350.0,4350.0
0.0,346.79999999999995,4350.0,4350.0
0.0,347.99999999999994,4350.0,4350.0
0.0,349.19999999999993,4350.0,4350.0
0.0,350.4,4350.0,4350.0
0.0,351.59999999999997,4350.0,4350.0
0.0,352.79999999999995,4350.0,4350.0
0.0,353.99999999999994,4350.0,4350.0
0.0,355.19999999999993,4350.0,4350.0
0.0,356.4,4350.0,4350.0
0.0,357.59999999999997,4350.0,4350.0
0.0,358.79999999999995,4350.0,4350.0
0.0,359.99999999999994,4350.0,4350.0
0.0,361.19999999999993,4350.0,4350.0
0.0,362.4,4350.0,4350.0
0.0,363.59999999999997,4350.0,4350.0
0.0,364.79999999999995,4350.0,4350.0
0.0,365.99999999999994,4350.0,4350.0
0.0,367.19999999999993,4350.0,4350.0
0.0,368.4,4350.0,4350.0
0.0,369.59999999999997,4350.0,4350.0
0.0,370.79999999999995,4350.0,4350.0
0.0,371.99999999999994,4350.0,4350.0
0.0,373.19999999999993,4350.0,4350.0
0.0,374.3999999999999,4350.0,4350.0
0.0,375.59999999999997,4350.0,4350.0
0.0,376.79999999999995,4350.0,4350.0
0.0,378.0,4350.0,4350.0
0.0,379.19999999999993,4350.0,4350.0
0.0,380.3999999999999,4350.0,4350.0
0.0,381.59999999999997,4350.0,4350.0
0.0,382.79999999999995,4350.0,4350.0
0.0,383.99999999999994,4350.0,4350.0
0.0,385.19999999999993,4350.0,4350.0
0.0,386.3999999999999,4350.0,4350.0
0.0,387.59999999999997,4350.0,4350.0
0.0,388.79999999999995,4350.0,4350.0
0.0,389.99999999999994,4350.0,4350.0
0.0,391.2,4350.0,4350.0
0.0,392.3999999999999,4350.0,4350.0
0.0,393.59999999999997,4350.0,4350.0
0.0,394.79999999999995,4350.0,4350.0
0.0,395.99999999999994,4350.0,4350.0
0.0,397.2,4350.0,4350.0
0.0,398.3999999999999,4350.0,4350.0
0.0,399.5999999999999,4350.0,4350.0
0.0,400.79999999999995,4350.0,4350.0
0.0,401.99999999999994,4350.0,4350.0
0.0,403.2,4350.0,4350.0
0.0,404.4,4350.0,4350.0
0.0,405.5999999999999,4350.0,4350.0
0.0,406.79999999999995,4350.0,4350.0
0.0,407.99999999999994,4350.0,4350.0
0.0,409.2,4350.0,4350.0
0.0,410.4,4350.0,4350.0
0.0,411.5999999999999,4350.0,4350.0
0.0,412.79999999999995,4350.0,4350.0
0.0,413.99999999999994,4350.0,4350.0
0.0,415.19999999999993,4350.0,4350.0
0.0,416.4,4350.0,4350.0
0.0,417.59999999999997,4350.0,4350.0
0.0,418.79999999999995,4350.0,4350.0
0.0,419.99999999999994,4350.0,4350.0
0.0,421.19999999999993,4350.0,4350.0
0.0,422.3999999999999,4350.0,4350.0
0.0,423.59999999999997,4350.0,4350.0
0.0,424.79999999999995,4350.0,4350.0
0.0,425.99999999999994,4350.0,4350.0
0.0,427.19999999999993,4350.0,4350.0
0.0,428.3999999999999,4350.0,4350.0
0.0,429.59999999999997,4350.0,4350.0
0.0,430.79999999999995,4350.0,4350.0
0.0,431.99999999999994,4350.0,4350.0
0.0,433.19999999999993,4350.0,4350.0
0.0,434.3999999999999,4350.0,4350.0
0.0,435.5999999999999,4350.0,4350.0
0.0,436.79999999999995,4350.0,4350.0
0.0,437.99999999999994,4350.0,4350.0
0.0,439.19999999999993,4350.0,4350.0
0.0,440.3999999999999,4350.0,4350.0
0.0,441.5999999999999,4350.0,4350.0
0.0,442.79999999999995,4350.0,4350.0
0.0,443.99999999999994,4350.0,4350.0
0.0,445.19999999999993,4350.0,4350.0
0.0,446.3999999999999,4350.0,4350.0
0.0,447.5999999999999,4350.0,4350.0
0.0,448.8,4350.0,4350.0
0.0,449.99999999999994,4350.0,4350.0
0.0,451.19999999999993,4350.0,4350.0
0.0,452.3999999999999,4350.0,4350.0
0.0,453.5999999999999,4350.0,4350.0
0.0,454.8,4350.0,4350.0
0.0,455.99999999999994,4350.0,4350.0
0.0,457.19999999999993,4350.0,4350.0
0.0,458.3999999999999,4350.0,4350.0
0.0,459.5999999999999,4350.0,4350.0
0.0,460.8,4350.0,4350.0
0.0,462.0,4350.0,4350.0
0.0,463.19999999999993,4350.0,4350.0
0.0,464.3999999999999,4350.0,4350.0
0.0,465.5999999999999,4350.0,4350.0
0.0,466.7999999999999,4350.0,4350.0
0.0,468.0,4350.0,4350.0
0.0,469.19999999999993,4350.0,4350.0
0.0,470.3999999999999,4350.0,4350.0
0.0,471.5999999999999,4350.0,4350.0
0.0,472.7999999999999,4350.0,4350.0
0.0,474.0,4350.0,4350.0
0.0,475.2,4350.0,4350.0
0.0,476.3999999999999,4350.0,4350.0
0.0,477.5999999999999,4350.0,4350.0
0.0,478.7999999999999,4350.0,4350.0
0.0,480.0,4350.0,4350.0
