t_s,x_m,p_analytic_Pa,p_numeric_Pa
0.0,345.0,30000000.0,30000000.0
0.0,347.5,30000000.0,30000000.0
0.0,350.0,30000000.0,30000000.0
0.0,352.5,30000000.0,30000000.0
0.0,355.0,30000000.0,30000000.0
0.0,357.5,30000000.0,30000000.0
0.0,360.0,30000000.0,30000000.0
0.0,362.5,30000000.0,30000000.0
0.0,365.0,30000000.0,30000000.0
0.0,367.5,30000000.0,30000000.0
0.0,370.0,30000000.0,30000000.0
0.0,372.5,30000000.0,30000000.0
0.0,375.0,30000000.0,30000000.0
0.0,377.5,30000000.0,30000000.0
0.0,380.0,30000000.0,30000000.0
0.0,382.5,30000000.0,30000000.0
0.0,385.0,30000000.0,30000000.0
0.0,387.5,30000000.0,30000000.0
0.0,390.0,30000000.0,30000000.0
0.0,392.5,30000000.0,30000000.0
0.0,395.0,30000000.0,30000000.0
0.0,397.5,30000000.0,30000000.0
0.0,400.0,30000000.0,30000000.0
0.0,402.5,30000000.0,30000000.0
0.0,405.0,30000000.0,30000000.0
0.0,407.5,30000000.0,30000000.0
0.0,410.0,30000000.0,30000000.0
0.0,412.5,30000000.0,30000000.0
0.0,415.0,30000000.0,30000000.0
0.0,417.5,30000000.0,30000000.0
0.0,420.0,30000000.0,30000000.0
0.0,422.5,30000000.0,30000000.0
0.0,425.0,30000000.0,30000000.0
0.0,427.5,30000000.0,30000000.0
0.0,430.0,30000000.0,30000000.0
0.0,432.5,30000000.0,30000000.0
0.0,435.0,30000000.0,30000000.0
0.0,437.5,30000000.0,30000000.0
0.0,440.0,30000000.0,30000000.0
0.0,442.5,30000000.0,30000000.0
0.0,445.0,30000000.0,30000000.0
0.0,447.5,30000000.0,30000000.0
0.0,450.0,30000000.0,30000000.0
0.0,452.5,30000000.0,30000000.0
0.0,455.0,30000000.0,30000000.0
0.0,457.5,30000000.0,30000000.0
0.0,460.0,30000000.0,30000000.0
0.0,462.5,30000000.0,30000000.0
0.0,465.0,30000000.0,30000000.0
0.0,467.5,30000000.0,30000000.0
0.0,470.0,30000000.0,30000000.0
0.0,472.5,30000000.0,30000000.0
0.0,475.0,30000000.0,30000000.0
0.0,477.5,30000000.0,30000000.0
0.0,480.0,30000000.0,30000000.0
0.0,482.5,30000000.0,30000000.0
0.0,485.0,30000000.0,30000000.0
0.0,487.5,30000000.0,30000000.0
0.0,490.0,30000000.0,30000000.0
0.0,492.5,30000000.0,30000000.0
0.0,495.0,30000000.0,30000000.0
0.0,497.5,30000000.0,30000000.0
0.0,500.0,30000000.0,30000000.0
0.0,502.5,30000000.0,30000000.0
0.0,505.0,30000000.0,30000000.0
0.0,507.5,30000000.0,30000000.0
0.0,510.0,30000000.0,30000000.0
0.0,512.5,30000000.0,30000000.0
