time_hr,x_ft,Δp_analytic_psi,Δp_numeric_psi
0.0,0.0,725.0000000000002,0.0
0.0,1.2,0.0,0.0
0.0,2.4,0.0,0.0
0.0,3.6,0.0,0.0
0.0,4.8,0.0,0.0
0.0,5.999999999999999,0.0,0.0
0.0,7.2,0.0,0.0
0.0,8.399999999999999,0.0,0.0
0.0,9.6,0.0,0.0
0.0,10.799999999999999,0.0,0.0
0.0,11.999999999999998,0.0,0.0
0.0,13.199999999999998,0.0,0.0
0.0,14.4,0.0,0.0
0.0,15.6,0.0,0.0
0.0,16.799999999999997,0.0,0.0
0.0,17.999999999999996,0.0,0.0
0.0,19.2,0.0,0.0
0.0,20.4,0.0,0.0
0.0,21.599999999999998,0.0,0.0
0.0,22.799999999999997,0.0,0.0
0.0,23.999999999999996,0.0,0.0
0.0,25.2,0.0,0.0
0.0,26.399999999999995,0.0,0.0
0.0,27.599999999999994,0.0,0.0
0.0,28.8,0.0,0.0
0.0,30.0,0.0,0.0
0.0,31.2,0.0,0.0
0.0,32.4,0.0,0.0
0.0,33.599999999999994,0.0,0.0
0.0,34.8,0.0,0.0
0.0,35.99999999999999,0.0,0.0
0.0,37.199999999999996,0.0,0.0
0.0,38.4,0.0,0.0
0.0,39.599999999999994,0.0,0.0
0.0,40.8,0.0,0.0
0.0,41.99999999999999,0.0,0.0
0.0,43.199999999999996,0.0,0.0
0.0,44.39999999999999,0.0,0.0
0.0,45.599999999999994,0.0,0.0
0.0,46.79999999999999,0.0,0.0
0.0,47.99999999999999,0.0,0.0
0.0,49.199999999999996,0.0,0.0
0.0,50.4,0.0,0.0
0.0,51.599999999999994,0.0,0.0
0.0,52.79999999999999,0.0,0.0
0.0,53.99999999999999,0.0,0.0
0.0,55.19999999999999,0.0,0.0
0.0,56.39999999999999,0.0,0.0
0.0,57.6,0.0,0.0
0.0,58.79999999999999,0.0,0.0
0.0,60.0,0.0,0.0
0.0,61.19999999999999,0.0,0.0
0.0,62.4,0.0,0.0
0.0,63.59999999999999,0.0,0.0
0.0,64.8,0.0,0.0
0.0,65.99999999999999,0.0,0.0
0.0,67.19999999999999,0.0,0.0
0.0,68.39999999999999,0.0,0.0
0.0,69.6,0.0,0.0
0.0,70.79999999999998,0.0,0.0
0.0,71.99999999999999,0.0,0.0
0.0,73.19999999999999,0.0,0.0
0.0,74.39999999999999,0.0,0.0
0.0,75.59999999999998,0.0,0.0
0.0,76.8,0.0,0.0
0.0,78.0,0.0,0.0
0.0,79.19999999999999,0.0,0.0
0.0,80.39999999999999,0.0,0.0
0.0,81.6,0.0,0.0
0.0,82.8,0.0,0.0
0.0,83.99999999999999,0.0,0.0
0.0,85.19999999999999,0.0,0.0
