x,data
0,0
1,1.6393442153930664
2,2.5901639461517334
3,2.950819730758667
4,3.7704918384552
5,5.606557369232178
6,7.868852615356445
7,9.639344215393066
8,11.672131538391113
9,14.098361015319824
10,18.098360061645508
11,21.770492553710938
12,23.016393661499023
13,24.852458953857422
14,25.704917907714844
15,26.19672203063965
16,26.26229476928711
17,26.393442153930664
18,27.278688430786133
19,27.278688430786133
20,28
21,28.52458953857422
22,29.704917907714844
23,30.491804122924805
24,31.147541046142578
25,30.95081901550293
26,30.918033599853516
27,31.57377052307129
28,34.75409698486328
29,37.573768615722656
30,38.3278694152832
31,40.03278732299805
32,41.344261169433594
33,42.426231384277344
34,43.73770523071289
35,44.03278732299805
36,45.47541046142578
37,108.13114929199219
38,45.04917907714844
39,19.868852615356445
40,107.83606719970703
41,47.73770523071289
42,111.9344253540039
43,1.737704873085022
44,113.73770141601562
45,114.36065673828125
46,3.573770523071289
47,25.770492553710938
48,3.8360655307769775
49,25.081966400146484
50,25.606557846069336
51,116.36065673828125
52,26.918033599853516
53,28.754098892211914
54,28.26229476928711
55,28
56,27.081966400146484
57,27.31147575378418
58,27.672130584716797
59,-49.37704849243164
60,29.73770523071289
61,31.147541046142578
62,32.78688430786133
63,33.50819778442383
64,34.78688430786133
65,35.934425354003906
66,-42
67,-44
68,-43.180328369140625
69,17.409835815429688
70,4.098360538482666
71,-22.491804122924805
72,-29.508195877075195
73,-14.65573787689209
74,-15.540983200073242
75,-23.8360652923584
76,-23.639345169067383
77,-22.065574645996094
78,-19.508195877075195
79,-16.491804122924805
80,-1.8032786846160889
81,1.8360655307769775
82,-4.918032646179199
83,16.459016799926758
84,22.393442153930664
85,-26.295082092285156
86,19.639345169067383
87,14.852458953857422
88,6.360655784606934
89,2.0655736923217773
90,-28.68852424621582
91,3.0819671154022217
92,35.442623138427734
93,26.590164184570312
94,17.672130584716797
95,12.622950553894043
96,17.540983200073242
97,4.524590015411377
98,20.786884307861328
99,22.327869415283203
100,23.80327796936035
101,2.622950792312622
102,2.3606557846069336
103,16.88524627685547
104,16.393442153930664
105,19.8360652923584
106,26.557376861572266
107,-8.852458953857422
108,1.6065573692321777
109,-58.49180221557617
110,2.721311569213867
111,-32.557376861572266
112,12.295082092285156
113,18.95081901550293
114,18.032787322998047
115,128.78688049316406
116,132.19671630859375
117,2.2622950077056885
118,-21.213115692138672
119,-21.901639938354492
120,52.065574645996094
121,-33.180328369140625
122,36.13114929199219
123,44.3278694152832
124,39.63934326171875
125,32.68852615356445
126,22.983606338500977
127,-6.393442630767822
128,5.770491600036621
129,0.9836065769195557
130,-1.573770523071289
131,-0.032786883413791656
132,1.5081967115402222
133,4.590163707733154
134,7.2131147384643555
135,9.836065292358398
136,10.491803169250488
137,10.622950553894043
138,10.68852424621582
139,7.278688430786133
140,2.0327868461608887
141,-4.491803169250488
142,-8.950819969177246
143,-10.68852424621582
144,-11.34426212310791
145,-9.0819673538208
146,-7.442623138427734
147,-5.573770523071289
148,-1.573770523071289
149,2.5901639461517334
150,5.508196830749512
151,8.786885261535645
152,12
153,15.31147575378418
154,19.344263076782227
155,26.786884307861328
156,-5.737704753875732
157,6.360655784606934
158,122.85246276855469
159,6.065573692321777
160,10.622950553894043
161,-34.78688430786133
162,26.819671630859375
163,25.37704849243164
164,-48.85245895385742
165,-30.098360061645508
166,35.73770523071289
167,35.40983581542969
168,34.88524627685547
169,33.40983581542969
170,32.26229476928711
171,30.19672203063965
172,26.557376861572266
173,24.229507446289062
174,21.901639938354492
175,18.327869415283203
176,-18.88524627685547
177,-8.491803169250488
178,10.459016799926758
179,14.360655784606934
180,12.950819969177246
181,12.032787322998047
182,12.721311569213867
183,14.360655784606934
184,17.278688430786133
185,21.508195877075195
186,24.098360061645508
187,26.229507446289062
188,27.868852615356445
189,30
190,31.80327796936035
191,33.344261169433594
192,34.295082092285156
193,35.31147384643555
194,36.3278694152832
195,20.590164184570312
196,20.819671630859375
197,22.754098892211914
198,23.278688430786133
199,23.409835815429688
200,24.721311569213867
201,25.47541046142578
202,25.8360652923584
203,25.8360652923584
204,26.19672203063965
205,26.754098892211914
206,27.016393661499023
207,26.295082092285156
208,25.540983200073242
209,26.065574645996094
210,26.19672203063965
211,26.88524627685547
212,27.80327796936035
213,28.721311569213867
214,30.26229476928711
215,32.065574645996094
216,-49.11475372314453
217,-46.196720123291016
218,-43.24590301513672
219,130.32786560058594
220,136.22950744628906
221,-5.409836292266846
